UTC+0.0,Latitude,Longitude,Elevation,Heading,DepthBelowTransducer
2016-11-03T18:39:56.272,0,0,0,0,0
2016-11-03T18:39:57.362,0,0,0,0,0
2016-11-03T18:39:58.453,0,0,0,0,0
2016-11-03T18:39:59.544,0,0,0,0,0
2016-11-03T18:40:00.635,0,0,0,0,0
2016-11-03T18:40:01.730,0,0,0,0,0
2016-11-03T18:40:02.820,0,0,0,0,0
2016-11-03T18:40:03.911,0,0,0,0,0
2016-11-03T18:40:05.000,0,0,0,0,0
2016-11-03T18:40:06.000,0,0,0,0,0
2016-11-03T18:40:07.187,0,0,0,0,0
2016-11-03T18:40:08.278,0,0,0,0,0
2016-11-03T18:40:09.369,0,0,0,0,0
2016-11-03T18:40:10.460,0,0,0,0,0
2016-11-03T18:40:11.551,0,0,0,0,0
2016-11-03T18:40:12.663,0,0,0,0,0
2016-11-03T18:40:13.753,0,0,0,0,0
2016-11-03T18:40:14.844,0,0,0,0,0
2016-11-03T18:40:15.935,0,0,0,0,0
2016-11-03T18:40:17.000,0,0,0,0,0
2016-11-03T18:40:18.117,0,0,0,0,0
2016-11-03T18:40:19.208,0,0,0,0,0
2016-11-03T18:40:20.299,0,0,0,0,0
2016-11-03T18:40:21.389,0,0,0,0,0
2016-11-03T18:40:22.483,0,0,0,0,0
2016-11-03T18:40:23.574,0,0,0,0,0
2016-11-03T18:40:24.665,0,0,0,0,0
2016-11-03T18:40:25.756,0,0,0,0,0
2016-11-03T18:40:26.847,0,0,0,0,0
2016-11-03T18:40:27.941,0,0,0,0,0
2016-11-03T18:40:29.000,0,0,0,0,0
2016-11-03T18:40:30.123,0,0,0,0,0
2016-11-03T18:40:31.213,0,0,0,0,0
2016-11-03T18:40:32.304,0,0,0,0,0
2016-11-03T18:40:33.399,0,0,0,0,0
2016-11-03T18:40:34.490,0,0,0,0,0
2016-11-03T18:40:35.580,0,0,0,0,0
2016-11-03T18:40:36.671,0,0,0,0,0
2016-11-03T18:40:37.765,0,0,0,0,0
2016-11-03T18:40:38.856,0,0,0,0,0
2016-11-03T18:40:39.947,0,0,0,0,0
2016-11-03T18:40:41.000,0,0,0,0,0
2016-11-03T18:40:42.129,0,0,0,0,0
2016-11-03T18:40:43.245,0,0,0,0,0
2016-11-03T18:40:44.336,0,0,0,0,0
2016-11-03T18:40:45.427,0,0,0,0,0
2016-11-03T18:40:46.518,0,0,0,0,0
2016-11-03T18:40:47.609,0,0,0,0,0
2016-11-03T18:40:48.704,0,0,0,0,0
2016-11-03T18:40:49.795,0,0,0,0,0
2016-11-03T18:40:50.886,0,0,0,0,0
2016-11-03T18:40:51.977,0,0,0,0,0
2016-11-03T18:40:53.000,0,0,0,0,0
2016-11-03T18:40:54.162,0,0,0,0,0
2016-11-03T18:40:55.252,0,0,0,0,0
2016-11-03T18:40:56.343,0,0,0,0,0
2016-11-03T18:40:57.434,0,0,0,0,0
2016-11-03T18:40:58.532,0,0,0,0,0
2016-11-03T18:40:59.623,0,0,0,0,0
2016-11-03T18:41:00.714,0,0,0,0,0
2016-11-03T18:41:01.805,0,0,0,0,0
2016-11-03T18:41:02.896,0,0,0,0,0
2016-11-03T18:41:03.991,0,0,0,0,0
2016-11-03T18:41:05.000,0,0,0,0,0
2016-11-03T18:41:06.173,0,0,0,0,0
2016-11-03T18:41:07.264,0,0,0,0,0
2016-11-03T18:41:08.354,0,0,0,0,0
2016-11-03T18:41:09.448,0,0,0,0,0
2016-11-03T18:41:10.539,0,0,0,0,0
2016-11-03T18:41:11.630,0,0,0,0,0
2016-11-03T18:41:12.721,0,0,0,0,0
2016-11-03T18:41:13.812,0,0,0,0,0
2016-11-03T18:41:14.928,0,0,0,0,0
2016-11-03T18:41:16.000,0,0,0,0,0
2016-11-03T18:41:17.110,0,0,0,0,0
2016-11-03T18:41:18.200,0,0,0,0,0
2016-11-03T18:41:19.295,0,0,0,0,0
2016-11-03T18:41:20.385,0,0,0,0,0
2016-11-03T18:41:21.476,0,0,0,0,0
2016-11-03T18:41:22.567,0,0,0,0,0
2016-11-03T18:41:23.658,0,0,0,0,0
2016-11-03T18:41:24.752,0,0,0,0,0
2016-11-03T18:41:25.843,0,0,0,0,0
2016-11-03T18:41:26.934,0,0,0,0,0
2016-11-03T18:41:28.000,0,0,0,0,0
2016-11-03T18:41:29.116,0,0,0,0,0
2016-11-03T18:41:30.209,0,0,0,0,0
2016-11-03T18:41:31.300,0,0,0,0,0
2016-11-03T18:41:32.392,0,0,0,0,0
2016-11-03T18:41:33.482,0,0,0,0,0
2016-11-03T18:41:34.573,0,0,0,0,0
2016-11-03T18:41:35.668,0,0,0,0,0
2016-11-03T18:41:36.759,0,0,0,0,0
2016-11-03T18:41:37.850,0,0,0,0,0
2016-11-03T18:41:38.941,0,0,0,0,0
2016-11-03T18:41:40.000,0,0,0,0,0
2016-11-03T18:41:41.122,0,0,0,0,0
2016-11-03T18:41:42.213,0,0,0,0,0
2016-11-03T18:41:43.304,0,0,0,0,0
2016-11-03T18:41:44.395,0,0,0,0,0
2016-11-03T18:41:45.507,0,0,0,0,0
2016-11-03T18:41:46.598,0,0,0,0,0
2016-11-03T18:41:47.689,0,0,0,0,0
2016-11-03T18:41:48.780,0,0,0,0,0
2016-11-03T18:41:49.871,0,0,0,0,0
2016-11-03T18:41:50.966,0,0,0,0,0
2016-11-03T18:41:52.000,0,0,0,0,0
2016-11-03T18:41:53.148,0,0,0,0,0
2016-11-03T18:41:54.239,0,0,0,0,0
2016-11-03T18:41:55.330,0,0,0,0,0
2016-11-03T18:41:56.425,0,0,0,0,0
2016-11-03T18:41:57.515,0,0,0,0,0
2016-11-03T18:41:58.606,0,0,0,0,0
2016-11-03T18:41:59.697,0,0,0,0,0
2016-11-03T18:42:00.792,0,0,0,0,0
2016-11-03T18:42:01.882,0,0,0,0,0
2016-11-03T18:42:02.973,0,0,0,0,0
2016-11-03T18:42:04.000,0,0,0,0,0
2016-11-03T18:42:05.155,0,0,0,0,0
2016-11-03T18:42:06.250,0,0,0,0,0
2016-11-03T18:42:07.341,0,0,0,0,0
2016-11-03T18:42:08.432,0,0,0,0,0
2016-11-03T18:42:09.523,0,0,0,0,0
2016-11-03T18:42:10.614,0,0,0,0,0
2016-11-03T18:42:11.708,0,0,0,0,0
2016-11-03T18:42:12.799,0,0,0,0,0
2016-11-03T18:42:13.890,0,0,0,0,0
2016-11-03T18:42:14.981,0,0,0,0,0
2016-11-03T18:42:16.000,0,0,0,0,0
2016-11-03T18:42:17.189,0,0,0,0,0
2016-11-03T18:42:18.280,0,0,0,0,0
2016-11-03T18:42:19.371,0,0,0,0,0
2016-11-03T18:42:20.461,0,0,0,0,0
2016-11-03T18:42:21.556,0,0,0,0,0
2016-11-03T18:42:22.647,0,0,0,0,0
2016-11-03T18:42:23.738,0,0,0,0,0
2016-11-03T18:42:24.829,0,0,0,0,0
2016-11-03T18:42:25.920,0,0,0,0,0
2016-11-03T18:42:27.000,0,0,0,0,0
2016-11-03T18:42:28.105,0,0,0,0,0
2016-11-03T18:42:29.196,0,0,0,0,0
2016-11-03T18:42:30.287,0,0,0,0,0
2016-11-03T18:42:31.377,0,0,0,0,0
2016-11-03T18:42:32.472,0,0,0,0,0
2016-11-03T18:42:33.563,0,0,0,0,0
2016-11-03T18:42:34.654,0,0,0,0,0
2016-11-03T18:42:35.745,0,0,0,0,0
2016-11-03T18:42:36.836,0,0,0,0,0
2016-11-03T18:42:37.931,0,0,0,0,0
2016-11-03T18:42:39.000,0,0,0,0,0
2016-11-03T18:42:40.113,0,0,0,0,0
2016-11-03T18:42:41.204,0,0,0,0,0
2016-11-03T18:42:42.299,0,0,0,0,0
2016-11-03T18:42:43.390,0,0,0,0,0
2016-11-03T18:42:44.481,0,0,0,0,0
2016-11-03T18:42:45.572,0,0,0,0,0
2016-11-03T18:42:46.662,0,0,0,0,0
2016-11-03T18:42:47.778,0,0,0,0,0
2016-11-03T18:42:48.869,0,0,0,0,0
2016-11-03T18:42:49.960,0,0,0,0,0
2016-11-03T18:42:51.000,0,0,0,0,0
2016-11-03T18:42:52.142,0,0,0,0,0
2016-11-03T18:42:53.237,0,0,0,0,0
2016-11-03T18:42:54.327,0,0,0,0,0
2016-11-03T18:42:55.418,0,0,0,0,0
2016-11-03T18:42:56.509,0,0,0,0,0
2016-11-03T18:42:57.600,0,0,0,0,0
2016-11-03T18:42:58.694,0,0,0,0,0
2016-11-03T18:42:59.785,0,0,0,0,0
2016-11-03T18:43:00.876,0,0,0,0,0
2016-11-03T18:43:01.967,0,0,0,0,0
2016-11-03T18:43:03.000,0,0,0,0,0
2016-11-03T18:43:04.151,0,0,0,0,0
2016-11-03T18:43:05.242,0,0,0,0,0
2016-11-03T18:43:06.333,0,0,0,0,0
2016-11-03T18:43:07.424,0,0,0,0,0
2016-11-03T18:43:08.519,0,0,0,0,0
2016-11-03T18:43:09.609,0,0,0,0,0
2016-11-03T18:43:10.700,0,0,0,0,0
2016-11-03T18:43:11.791,0,0,0,0,0
2016-11-03T18:43:12.881,0,0,0,0,0
2016-11-03T18:43:13.971,0,0,0,0,0
2016-11-03T18:43:15.000,0,0,0,0,0
2016-11-03T18:43:16.153,0,0,0,0,0
2016-11-03T18:43:17.244,0,0,0,0,0
2016-11-03T18:43:18.335,0,0,0,0,0
2016-11-03T18:43:19.451,0,0,0,0,0
2016-11-03T18:43:20.542,0,0,0,0,0
2016-11-03T18:43:21.633,0,0,0,0,0
2016-11-03T18:43:22.723,0,0,0,0,0
2016-11-03T18:43:23.814,0,0,0,0,0
2016-11-03T18:43:24.908,0,0,0,0,0
2016-11-03T18:43:25.999,0,0,0,0,0
2016-11-03T18:43:27.000,0,0,0,0,0
2016-11-03T18:43:28.181,0,0,0,0,0
2016-11-03T18:43:29.275,0,0,0,0,0
2016-11-03T18:43:30.365,0,0,0,0,0
2016-11-03T18:43:31.456,0,0,0,0,0
2016-11-03T18:43:32.547,0,0,0,0,0
2016-11-03T18:43:33.638,0,0,0,0,0
2016-11-03T18:43:34.732,0,0,0,0,0
2016-11-03T18:43:35.550,0,0,0,0,0
