UTC_0_0,Latitude,Longitude,Elevation,Heading,DepthBelowTransducer
2021-03-03T00:37:37.00,45.4908,-123.2254,14,318.0001,14.0000
2021-03-03T00:37:38.00,45.4908,-123.2254,14,310.9627,14.0000
2021-03-03T00:37:39.00,45.4908,-123.2254,14,307.1863,14.0000
2021-03-03T00:37:40.00,45.4908,-123.2254,14,307.1923,14.0000
2021-03-03T00:37:41.00,45.4908,-123.2254,14,312.8350,14.0000
2021-03-03T00:37:42.00,45.4908,-123.2254,14,322.6871,14.0000
2021-03-03T00:37:43.00,45.4908,-123.2255,14,328.6822,14.0000
2021-03-03T00:37:44.00,45.4908,-123.2255,14,331.1158,14.0000
2021-03-03T00:37:45.00,45.4909,-123.2255,14,330.7250,14.0000
2021-03-03T00:37:46.00,45.4909,-123.2255,14,326.4027,14.0000
2021-03-03T00:37:47.00,45.4909,-123.2255,14,319.6708,14.0000
2021-03-03T00:37:48.00,45.4909,-123.2255,14,312.4322,14.0000
2021-03-03T00:37:49.00,45.4909,-123.2255,14,308.5066,14.0000
2021-03-03T00:37:50.00,45.4909,-123.2255,14,310.2381,14.0000
2021-03-03T00:37:51.00,45.4909,-123.2256,14,315.9288,14.0000
2021-03-03T00:37:52.00,45.4909,-123.2256,14,323.3262,14.0000
2021-03-03T00:37:53.00,45.4909,-123.2256,14,327.3868,14.0000
2021-03-03T00:37:54.00,45.4909,-123.2256,14,329.4032,14.0000
2021-03-03T00:37:55.00,45.4910,-123.2256,14,328.7249,14.0000
2021-03-03T00:37:56.00,45.4910,-123.2256,14,324.5990,14.0000
2021-03-03T00:37:57.00,45.4910,-123.2256,14,317.3926,14.0000
2021-03-03T00:37:58.00,45.4910,-123.2256,14,310.1703,14.0000
2021-03-03T00:37:59.00,45.4910,-123.2257,14,306.6407,14.0000
2021-03-03T00:38:00.00,45.4910,-123.2257,14,308.1740,14.0000
2021-03-03T00:38:01.00,45.4910,-123.2257,14,315.2057,14.0000
2021-03-03T00:38:02.00,45.4910,-123.2257,14,323.0550,14.0000
2021-03-03T00:38:03.00,45.4911,-123.2257,14,328.0520,14.0000
2021-03-03T00:38:04.00,45.4911,-123.2257,14,330.4435,14.0000
2021-03-03T00:38:05.00,45.4911,-123.2257,14,328.7971,14.0000
2021-03-03T00:38:06.00,45.4911,-123.2257,14,324.1266,14.0000
2021-03-03T00:38:07.00,45.4911,-123.2258,14,317.3412,14.0000
2021-03-03T00:38:08.00,45.4911,-123.2258,14,312.4056,14.0000
2021-03-03T00:38:09.00,45.4911,-123.2258,14,308.9649,14.0000
2021-03-03T00:38:10.00,45.4911,-123.2258,14,309.8219,14.0000
2021-03-03T00:38:11.00,45.4911,-123.2258,14,316.8412,14.0000
2021-03-03T00:38:12.00,45.4911,-123.2258,14,325.3437,14.0000
2021-03-03T00:38:13.00,45.4912,-123.2258,14,329.9880,14.0000
2021-03-03T00:38:14.00,45.4912,-123.2258,14,331.2887,14.0000
2021-03-03T00:38:15.00,45.4912,-123.2259,14,329.1656,14.0000
2021-03-03T00:38:16.00,45.4912,-123.2259,14,324.2698,14.0000
